々	(kép)
恫	ĐỘNG
恬	ĐIỀM
恭	CUNG
息	TỨC
恰	KHÁP
恵	HUỆ
悁	QUYÊN
悃	KHỐN
悄	TIÊU
悋	LẬN
悌	ĐÊ
悍	HÃN
悒	ẤP
悔	HỐI
悖	BỘI
悚	TỦNG
悛	THOAN
悟	NGỘ
悠	DU
患	HOẠN
悦	DUYỆT
悧	LỢI
悩	NÃO
悪	ÁC
悲	BI
悴	TỤY
悵	TRƯỚNG
悶	MUỘN
悸	QUÝ/QUÍ
悼	ĐIỆU
悽	THÊ
情	TÌNH
惆	TRÙ
惇	ĐÔN
惑	HOẶC
惓	QUYỀN
惘	VÕNG
惚	HỐT
惜	TÍCH
惟	DUY
惠	HUỆ
惡	ÁC
惣	VẬT
惧	CỤ
惨	THẢM
惰	ĐỌA/NỌA
惱	NÃO
想	TƯỞNG
惴	CHÚY
惶	HOÀNG
惷	XUẨN
惺	TINH
惻	TRẮC
愀	THIỂU
愁	SẦU
愆	KHIÊN
愈	DŨ
愉	DU
愍	MẪN
愎	PHỨC
意	Ý
愕	NGẠC
愚	NGU
愛	ÁI
感	CẢM
愡	THÔNG
愧	QUỶ/QUỈ
愬	TỐ
愴	THƯƠNG
愼	THẬN
愾	KHÁI
愿	NGUYỆN
慂	DŨNG
慄	LẬT
慇	ÂN
慈	TỪ
慊	HIỀM
態	THÁI
慌	HOẢNG
慍	ÔN
慎	THẬN
慓	PHIÊU
慕	MỘ
慘	THẢM
慙	TÀM
慚	TÀM
慝	NẶC
慟	ĐỘNG
慢	MẠN
慣	QUÁN
慥	THÁO
慧	TUỆ
慨	KHÁI
慫	TỦNG
慮	LỰ
慯	THƯƠNG
慰	UÝ
慳	KIÊN
慴	NHIẾP
慵	DUNG
慶	KHÁNH
慷	KHẢNG
慾	DỤC
憂	ƯU
憇	KHẾ
憊	BẠI
憎	TĂNG
憐	LÂN
憑	BẰNG
憔	TIỀU
憖	NGẬN
憙	HÝ/HÍ
憚	ĐẠN
憤	PHẪN
憧	SUNG
憩	KHẾ
憫	MẪN
憬	CẢNH
憮	VÔ
憲	HIẾN
憶	ỨC
憺	ĐẢM
憾	HÁM
懃	CẦN
懆	THAO
懇	KHẨN
懈	GIẢI
應	ỨNG
懊	ÁO
懋	MẬU
懌	DỊCH
懍	LẪM
懐	HOÀI
懣	MUỘN
懦	NHU
懲	TRỪNG
懴	SÁM
懶	LÃN/LẠI
懷	HOÀI
懸	HUYỀN
懺	SÁM
懼	CỤ
懽	HOÀN
懾	NHIẾP
懿	Ý
戀	LUYẾN
戈	QUA
戉	VIỆT
戊	MẬU
戌	TUẤT
戍	THÚ
戎	NHUNG
成	THÀNH
我	NGÃ
戒	GIỚI
戔	TIÊN
或	HOẶC
戚	THÍCH
戛	KIẾT
戝	TÀI/TẶC
戞	KIẾT
戟	KÍCH
戡	KHAM
戦	CHIẾN
截	TÀI
戮	LỤC
戯	HÍ
戰	CHIẾN
戲	HÍ
戳	TRỐC
戴	ĐÁI
戸	HỘ
戻	LỆ
房	PHÒNG/BÀNG
所	SỞ
扁	BIỂN
扇	PHIẾN
扈	HỘ/HỖ
扉	PHI
手	THỦ
才	TÀI
扎	TRÁT
打	ĐẢ
払	PHẤT
托	THÁC
扛	GIANG
扞	CẢN
扠	XOA
扣	KHẤU
扮	PHẪN/BAN/BÁN
扱	TRÁP
扶	PHÙ
批	PHÊ
扼	ÁCH
找	TRẢO
承	THỪA
技	KỸ
抃	BIỆN
抄	SAO
抉	QUYẾT
把	BẢ
抑	ỨC
抒	TRỮ
抓	TRẢO
抔	PHẦU
投	ĐẦU
抖	ĐẨU
抗	KHÁNG
折	TRIẾT
抛	PHÓNG
抜	BẠT
択	TRẠCH
披	PHI
抬	ĐÀI
抱	BÃO
抵	ĐỂ
抹	MẠT
抻	THÂN
押	ÁP
抽	TRỪU
拂	PHẤT
担	ĐẢM
拆	SÁCH
拇	MẪU
拈	NIÊM/CHIÊM
拉	LẠP
拊	PHỦ
拌	BẠN
拍	PHÁCH
拏	NÃ
拐	QUẢI
拑	KIỀM
拒	CỰ
拓	THÁC
拔	BẠT
拗	ẤU
拘	CÂU/CÙ
拙	CHUYẾT
招	CHIÊU
拜	BÁI
拝	BÁI
拠	CỨ
拡	KHUẾCH
括	QUÁT
拭	THỨC
拮	KIẾT
拯	CHỬNG
拱	CỦNG
拳	QUYỀN
拵	TỒN
拶	TẠT/TÁN
拷	KHẢO
拾	THẬP
拿	NÃ
持	TRÌ
挂	QUẢI
指	CHỈ
挈	KHIẾT
按	ÁN
挌	CÁCH
挑	THIÊU/THAO
挙	CỬ
挟	HIỆP/TIỆP
挨	AI/ẢI
挫	TỎA
振	CHẤN
挺	ĐĨNH
挽	VÃN
挾	HIỆP
挿	THÁP
捉	TÚC
捌	BÁT
捍	CẢN/HÃN
捏	NÁT
捐	QUYÊN
捕	BỘ/BỔ
捗	BỘ
捜	SƯU
捧	BỔNG
捨	SẢ
捩	LỆ
捫	MÔN
据	CƯ/CỨ
捲	QUYỂN
捶	THÙY
捷	TIỆP
捺	NẠI
捻	NIỆM/NIỆP
掀	HIÊN
掃	TẢO
授	THỤ/THỌ
掉	ĐIỆU/TRẠO
掌	CHƯỞNG
掎	KỶ/Ỷ/KY
掏	ĐÀO
排	BÁI
掖	DỊCH
掘	QUẬT
掛	QUẢI
掟	ĐỊNH
掠	LƯỢC
採	THẢI/THÁI
探	THÁM
掣	XIẾT
接	TIẾP
控	KHỐNG
推	SUY/THÔI
掩	YỂM
措	THỐ
掫	TƯU
掬	CÚC
掲	YẾT
掴	QUẮC
掻	TAO
掾	DUYỆN
揀	GIẢN
揃	TIỄN
揄	DU
揆	QUỸ/QUĨ
揉	NHU
描	MIÊU
提	ĐỀ
插	SÁP/THÁP
揖	ẤP
揚	DƯƠNG
換	HOÁN
握	ÁC
揣	SỦY
揩	KHẢI
揮	HUY
援	VIỆN/VIÊN
揶	GIA
揺	DAO
搆	CẤU
損	TỔN
搏	BÁC
搓	SAI
搖	DAO/DIÊU
搗	ĐẢO
搜	SƯU
搦	NHƯỢC
搨	THÁP
搬	BAN/BÀN
搭	ĐÁP
搴	KHIÊN
搶	SANG/THƯƠNG
携	HUỀ
搾	TRÁ
摂	NHIẾP
摘	TRÍCH
摧	TỒI
摩	MA
摯	CHÍ
摶	ĐOÀN
摸	MÔ
摺	TRIỆP
撃	KÍCH
撈	LAO
撒	TÁT
撓	NẠO
撕	TÊ/TY
撚	NHIÊN
撞	TRÀNG
撤	TRIỆT
撥	BÁT
撩	LIÊU
撫	PHỦ
播	BÁ
撮	TOÁT
撰	SOẠN
撲	PHÁC/BẠC
撹	GIÁC
撻	ĐẠT
撼	CẢM
擁	ỦNG
擂	LÔI
擅	THIỆN
擇	TRẠCH
操	THAO/THÁO
擒	CẦM
擔	ĐẢM
擘	PHÁCH
據	CỨ
擠	TỂ/TÊ
擡	ĐÀI
擢	TRẠC
擣	ĐẢO
擦	SÁT
擧	CỬ
擬	NGHĨ
擯	TẤN
擱	CÁC
擲	TRỊCH
擴	KHUẾCH
擶	TIỄN
擺	BÀI
擽	LẠC
擾	NHIỄU
攀	PHAN
攅	TÁN
攘	NHƯỠNG
攜	HUỀ
攝	NHIẾP
攣	LOAN
攤	THAN
攪	GIAO
攫	QUẮC
攬	LÃM
支	CHI
攴	PHỘC
攵	PHỘC
收	THU
攷	KHẢO
攸	DU
改	CẢI
攻	CÔNG
放	PHÓNG
政	CHÍNH/CHÁNH
故	CỐ
效	HIỆU
敍	TỰ
敏	MẪN
救	CỨU
敕	SẮC
敖	NGAO/NGẠO
敗	BẠI
敘	TỰ
教	GIÁO
敝	TỆ
敞	SƯỞNG
敢	CẢM
散	TÁN
敦	ĐÔN
敬	KÍNH
数	SỐ
整	CHỈNH
敵	ĐỊCH
敷	PHU
數	SỐ
斂	LIỄM/LIỆM
斃	TỆ
文	VĂN
斈	HỌC
斉	TỀ
斌	BÂN
斎	TRAI
斐	PHỈ
斑	BAN
斗	ĐẤU
料	LIỆU
斜	TÀ
斟	CHÂM
斡	OÁT/QUẢN
斤	CÂN
斥	XÍCH
斧	PHỦ
斫	CHƯỚC/TRÁC
断	ĐOẠN/ĐOÁN
斯	TƯ
新	TÂN
斷	ĐOẠN/ĐOÁN
方	PHƯƠNG
於	Ư
施	THI/THÍ
旁	BÀNG
旃	CHIÊN
旄	MAO
旅	LỮ
旆	BÁI
旋	TOÀN
旌	TINH
族	TỘC
旒	LƯU
旗	KỲ
旙	PHIẾN
旛	PHIẾN
无	VÔ
旡	KÝ
既	KÝ
日	NHẬT
旦	ĐÁN
旧	CỰU
旨	CHỈ
早	TẢO
旬	TUẦN
旭	HÚC
旱	HẠN
旺	VƯỢNG
旻	MẪN
昂	NGANG
昃	TRẮC
昆	CÔN
昇	THĂNG
昊	HẠO
昌	XƯƠNG
明	MINH
昏	HÔN
易	DỊ/DỊCH
昔	TÍCH
昜	DƯƠNG
星	TINH
映	ẢNH/ÁNH
春	XUÂN
昧	MUỘI
昨	TẠC
昭	CHIÊU
昮	NGANG
是	THỊ
昴	MÃO
昵	NẶC
昶	SƯỞNG
昼	TRÚ
昿	QUANG
晁	TIỀU
時	THỜI/THÌ
晃	HOẢNG
晄	HOẢNG
晉	TẤN
晋	TẤN
晏	YẾN
晒	TẨY
晝	TRÚ
晞	HY/HI
晟	THÀNH
晤	NGỘ
晦	HỐI
晨	THẦN
晩	VÃN
普	PHỔ
景	CẢNH
晰	TÍCH
晴	TÌNH
晶	TINH
智	TRÍ
暁	HIỂU
暄	HUYÊN
暇	HẠ
暈	VỰNG
暉	HUY
暎	ÁNH
暑	THỬ
暖	NOÃN
暗	ÁM
暘	DƯƠNG
暝	MINH
暢	SƯỚNG
暦	LỊCH
暫	TẠM
暮	MỘ
暴	BẠO/BỘC
暹	XIÊM
暾	ĐÔN
曁	KỴ
曇	ĐÀM
曉	HIỂU
曖	ÁI
曙	THỰ
曚	MÔNG
曜	DIỆU
曝	BỘC
曠	KHOÁNG
曦	HI
曩	NẴNG
曰	VIẾT
曲	KHÚC
曳	DUỆ
更	CANH/CÁNH
曵	DUỆ
曷	HẠT
書	THƯ
曹	TÀO
曼	MAN
曽	TẰNG
曾	TẰNG
替	THẾ
最	TỐI
會	HỘI
月	NGUYỆT
有	HỮU
朋	BẰNG
服	PHỤC
朕	TRẪM
朗	LÃNG
望	VỌNG
朝	TRIỀU/TRIÊU
期	KỲ
木	MỘC
未	VỊ/MÙI
末	MẠT
本	BẢN/BỔN
札	TRÁT
朮	THUẬT/TRUẬT
朱	CHU/CHÂU
朴	PHÁC
朶	ĐÓA
机	KỶ
朽	HỦ
朿	THÍCH
杆	CAN/CÁN
杉	SAM/SOAN
李	LÝ
杏	HẠNH
材	TÀI
村	THÔN
杓	CHƯỚC
杖	TRƯỢNG
杙	DẶC
杜	ĐỖ
杞	KHỞI
束	THÚC
杠	GIANG
条	ĐIỀU
杢	MỘC
来	LAI
杪	MIỂU
杭	HÀNG
杮	THỊ/SĨ
杯	BÔI
杰	KIỆT
東	ĐÔNG
杲	CẢO
杳	YỂU
杵	CHỬ
杷	BÀ
杼	TRỮ
松	TÙNG
板	BẢN/BẢNG
枅	PHANH/BÌNH
枇	TỲ/TÌ
枉	UỔNG
枋	PHƯƠNG
枌	PHẦN
析	TÍCH
枕	CHẨM
林	LÂM
枚	MAI
果	QUẢ
枝	CHI
枠	(khung)
枢	XU/KHU
枦	LƯ
枩	TÙNG
枯	KHÔ
枳	CHỈ
枴	QUẢI
架	GIÁ
枷	GIÀ
枸	CỬ/CẨU
枹	PHU/PHÙ/BAO
柁	ĐẢ/ĐÀ
柄	BÍNH
柊	ĐÔNG
柎	PHỦ
柏	BÁCH/BÁ
某	MỖ
柑	CAM
染	NHIỄM
柔	NHU
柘	GIÁ
柚	DỮU/CHỤC
柝	THÁC
柞	TẠC/TRÁCH
柢	ĐẾ
柧	QUA
柩	CỮU
柬	GIẢN
柮	ĐỐT
柯	KHA
柱	TRỤ
柳	LIỄU
柴	SÀI
柵	SÁCH
査	TRA
柿	THỊ
栃	(dẻ)
栄	VINH
栓	XUYÊN/THEN
栖	THÊ
栗	LẬT
栞	CAN
校	HIỆU/GIÁO
栢	BÁCH
栩	HỦ
株	CHÂU/CHU
栲	KHẢO
栴	CHIÊN
核	HẠCH
根	CĂN
格	CÁCH
栽	TÀI/TẢI
桀	KIỆT
桁	HÀNH/HÀNG
桂	QUẾ
桃	ĐÀO
框	KHUÔNG
案	ÁN
桍	KHÔ
桎	TRẤT
桐	ĐỒNG
桑	TANG
桓	HOÀN
桔	QUẤT/CÁT
桛	(cuộn)
桜	ANH
桟	SẠN
档	ĐƯƠNG
桧	CỐI
桴	PHÙ
桶	DŨNG
桷	GIÁC
桾	QUÂN
桿	CÁN
梁	LƯƠNG
梃	ĐĨNH
梅	MAI
梏	CỐC
梓	TỬ
梔	CHI
梗	NGẠNH
梛	NA
條	ĐIỀU
梟	KIÊU
梠	LỮ
梢	SAO/TIÊU
梦	MỘNG
梧	NGÔ
梨	LÊ
梭	THOA
梯	THÊ
械	GIỚI
梱	KHỔN
梳	SƠ
梵	PHẠN
梶	VĨ
梹	TÂN
棄	KHÍ
棉	MIÊN
棊	KỲ
棋	KỲ
棍	CÔN
棒	BỔNG
棔	HÔN
棕	TÔNG
棗	TẢO
棘	CỨC
棚	BẰNG
棟	ĐỐNG
棠	ĐƯỜNG
棡	CƯƠNG
棣	LỆ/ĐẠI/THẾ
棧	SẠN
森	SÂM
棯	NIỆM
棲	THÊ
棹	TRẠO
棺	QUAN
椀	OẢN
椁	QUÁCH
椄	TIẾP
椅	KỶ/Ỷ
椈	CÚC
植	THỰC
椎	TRUY
椏	NHA
椒	TIÊU
検	KIỂM
椦	KHOÁN
椰	GIA
椶	TÔNG
椹	THẦM
椽	CHUYÊN
椿	XUÂN/THUNG
楊	DƯƠNG
楓	PHONG
楔	TIẾT
楙	MẬU
楚	SỞ
楜	HỒ
楝	LUYỆN
楞	LĂNG
楠	NAM
楡	DU
楢	DO
楫	TIẾP
業	NGHIỆP
楮	CHỬ
楯	THUẪN
楳	KỲ
極	CỰC
楷	GIAI/KHAI
楸	THU
楹	DOANH
楼	LÂU
楽	LẠC/NHẠC
概	KHÁI
榊	(thần)
榑	PHÙ
榔	LANG
榕	DUNG/DONG
榛	TRĂN
榜	BẢNG
榧	PHỈ
榮	VINH
榱	SUY
榲	ỐT
榴	LỰU
榻	THÁP
榾	CỐT
槁	CẢO
槃	BÀN
槊	SÓC/SÁO
構	CẤU
槌	CHÙY
槍	THƯƠNG
槎	TRA
槐	HÒE
槓	CỐNG
様	DẠNG
槙	SÂN
槧	TẠM/THIỄM
槨	QUÁCH
槭	TÚC/SẮC
槲	HỘC
槹	CAO
槽	TÀO
槿	CẬN
樂	LẠC
樅	TUNG
樊	PHÀN
樓	LÂU
樗	XƯ
標	PHIẾU
標	TIÊU
樛	CÙ
樞	XU
樟	CHƯƠNG
模	MÔ
樣	DẠNG
権	QUYỀN
横	HOÀNH
樵	TIỀU
樸	PHÁC
樹	THỤ
樺	HOA
樽	TÔN
橄	CẢM
橇	KHIÊU
橈	NHIÊU
橋	KIỀU
橘	QUẤT
橙	CHANH
機	CƠ/KY
橡	TƯỢNG
橢	THỎA
檀	ĐÀN
檄	HỊCH
檎	CẦM
檐	DIÊM
檜	CỐI
檠	KỀNH
檢	KIỂM
檣	TƯỜNG
檬	MÔNG
檮	ĐÀO
檳	TÂN
檸	NINH
檻	HẠM
櫂	TRẠO/TRẠC
櫃	QUỸ/QUĨ
櫓	LỖ
櫚	LƯ
櫛	TRẤT
櫞	DUYÊN
櫟	LỊCH
櫨	LÔ
櫪	LỊCH
櫺	LINH
櫻	ANH
欄	LAN
權	QUYỀN
欒	LOAN
欖	LÃM
欝	UẤT
欠	KHIẾM
次	THỨ
欣	HÂN
欧	ÂU
欲	DỤC
欷	HY
欸	AI/ÁI
欹	Y
欺	KHI
欽	KHÂM
款	KHOẢN
歃	SÁP
歇	HIẾT
歉	KHIỂM
歌	CA
歎	THÁN
歐	ÂU/ẨU
歓	HOAN
歔	HƯ
歙	HẤP/THIỆP
歛	LIỄM
歟	DƯ
歡	HOAN
止	CHỈ
正	CHÍNH
此	THỬ
武	VŨ/VÕ
歩	BỘ
歪	OAI
歯	XỈ
歳	TUẾ
歴	LỊCH
歸	QUY/QUI
歹	NGẠT/ĐÃI
死	TỬ
歿	MỘT
殀	YỂU
殃	ƯƠNG
殄	ĐIỄN
殆	ĐÃI
殉	TUẪN
殊	THÙ
残	TÀN
殍	BIỄU
殖	THỰC
殘	TÀN
殞	VẪN
殤	THƯƠNG
殪	Ế
殫	ĐÀN/ĐẠN
殯	TẤN/THẤN
殱	TIÊM
殲	TIÊM
殳	THÙ
殴	ẨU
段	ĐOẠN
殷	ÂN
殺	SÁT
殻	XÁC
殿	ĐIỆN
毀	HỦY
毅	NGHỊ
毆	ẨU
毋	VÔ/MƯU
母	MẪU
毎	MỖI
毒	ĐỘC
毓	DỤC
比	TỶ/TỈ/BỈ
毛	MAO
毫	HÀO
毬	CẦU
毯	THẢM
毳	THUẾ/THÚY
氈	CHIÊN
氏	THỊ
民	DÂN
氓	MANH
气	KHÍ/KHẤT
気	KHÍ
氛	PHÂN
氣	KHÍ
氤	NHÂN
水	THỦY
氷	BĂNG
永	VĨNH
氾	PHIẾM
汀	ĐINH
汁	CHẤP
求	CẦU
汎	PHIẾM
汐	TỊCH
汕	SÁN
汗	HÃN
汚	Ô
汝	NHỮ
汞	HỐNG
江	GIANG
池	TRÌ
汨	MỊCH/CỐT
汪	UÔNG
汰	THÁI/THẢI
汲	CẤP
決	QUYẾT
汽	KHÍ
汾	PHẦN
沁	THẤM/SẤM
沂	NGHI/NGÂN
沃	ỐC
沈	TRẦM
沌	ĐỘN
沐	MỘC
沒	MỘT
沓	ĐẠP
沖	XUNG
沙	SA
沚	CHỈ
沛	PHÁI/BÁI
没	MỘT
沢	TRẠCH
沫	MẠT
沮	TỰ/TRỞ/THƯ
沱	ĐÀ
河	HÀ
沸	PHÍ/PHẤT
油	DU
治	TRỊ
沼	CHIỂU
沽	CÔ/CỔ
沾	TRIÊM/ĐIẾP
沿	DUYÊN
況	HUỐNG
泄	TIẾT/DUỆ
泅	TÙ
泉	TUYỀN
泊	BẠC/PHÁCH
泌	TIẾT/BÍ
泓	HOẰNG
法	PHÁP
泗	TỨ
泛	PHIẾM
泝	TỐ
泡	PHAO/BÀO
波	BA
泣	KHẤP
泥	NÊ
注	CHÚ
泯	MẪN/DÂN/MIẾN
泰	THÁI
泱	ƯƠNG/ÁNG
泳	VỊNH
洋	DƯƠNG
洌	LIỆT
洒	TẨY
洗	TẨY
洙	THÙ/CHU
洛	LẠC
洞	ĐỘNG
洟	DI/THẾ
津	TÂN
洩	TIẾT
洪	HỒNG
洫	HỨC
洲	CHÂU
洳	NHƯ
洵	TUÂN
洶	HUNG
洸	QUANG
活	HOẠT
洽	HIỆP/HỢP
派	PHÁI
流	LƯU
浄	TỊNH
浅	THIỂN
浙	TRIẾT
浚	TUẤN
浜	TÂN/BANH
浣	HOÁN/CÁN
浦	PHỔ
浩	HẠO
浪	LÃNG
浬	LÝ/LÍ
浮	PHÙ
浴	DỤC
海	HẢI
浸	TẨM
浹	TIẾP
涅	NIẾT
消	TIÊU
涌	DŨNG
涎	TIÊN/DIỆN/DUYÊN
涓	QUYÊN
涕	THẾ
涙	LỆ
涯	NHAI
液	DỊCH
涼	LƯƠNG
淆	HÀO
淋	LÂM
淑	THỤC
淒	THÊ
淡	ĐẠM
淦	CAM
淫	DÂM
深	THÂM
淳	THUẦN
淵	UYÊN
混	HỖN
添	THIÊM
清	THANH
渇	KHÁT
済	TẾ
渉	THIỆP
渋	SÁP
渓	KHÊ
渚	CHỬ
減	GIẢM
渠	CỪ
渡	ĐỘ
渥	ÁC
渦	OA
温	ÔN
測	TRẮC
港	CẢNG
渾	HỒN
湖	HỒ
湯	THANG
湾	LOAN
湿	THẤP
満	MÃN
源	NGUYÊN
準	CHUẨN
溜	LỰU
溝	CÂU
溪	KHÊ
溯	TỐ
溶	DUNG/DONG
溺	NỊCH
滅	DIỆT
滋	TƯ
滑	HOẠT
滝	LANG
滞	TRỆ
滴	TRÍCH/ĐÍCH
漁	NGƯ
漂	PHIÊU
漆	TẤT
漏	LẬU
漓	LY/LI
演	DIỄN
漕	TẢO
漠	MẠC
漢	HÁN
漫	MẠN/MAN
漬	TÝ
漸	TIỆM/TIÊM
漿	TƯƠNG
潔	KHIẾT
潘	PHAN
潜	TIỀM
潟	TÍCH
潤	NHUẬN
潮	TRIỀU/TRÀO
潰	HỘI
澄	TRỪNG
澹	ĐẠM
激	KHÍCH/KÍCH
濁	TRỌC
濃	NỒNG/NÙNG
濠	HÀO
濡	NHU
濫	LẠM
濯	TRẠC
濾	LỰ
瀕	TẦN
瀘	LÔ
瀬	LẠI
瀾	LAN
灣	LOAN
火	HỎA
灯	ĐĂNG
灰	HÔI
災	TAI
炉	LÔ
炊	XUY
炎	VIÊM
炙	CHÁ/CHÍCH
炭	THÁN
炸	TẠC
点	ĐIỂM
為	VI
烈	LIỆT
烏	Ô
烹	PHANH
焉	YÊN
焔	DIỄM
無	VÔ/MÔ
焦	TIÊU
然	NHIÊN
焼	THIÊU
煉	LUYỆN
煎	TIÊN/TIỄN
煙	YÊN
照	CHIẾU
煩	PHIỀN
煮	CHỬ
熊	HÙNG
熟	THỤC
熱	NHIỆT
燃	NHIÊN
燈	ĐĂNG
燐	LÂN
燕	YẾN/YÊN
燗	LẠN
營	DOANH
燥	TÁO
燦	XÁN
爆	BỘC
爛	LẠN
爪	TRẢO
爵	TƯỚC
父	PHỤ
爺	GIA
爽	SẢNG
爾	NHĨ
牀	SÀNG
片	PHIẾN
版	PHẢN
牌	BÀI
牙	NHA
牛	NGƯU
牝	TẪN
牟	MÂU
牡	MẪU
牢	LAO
牧	MỤC
物	VẬT
牲	SINH
特	ĐẶC
牽	KHIÊN
犀	TÊ
犠	HI
犬	KHUYỂN
犯	PHẠM
状	TRẠNG
狂	CUỒNG
狐	HỒ
狙	THƯ
狩	THÚ
独	ĐỘC
狭	HIỆP
狸	LY
猊	NGHÊ
猛	MÃNH
猟	LIỆP
猥	ỔI
猪	CHƯ/TRƯ
猫	MIÊU
献	HIẾN
猶	DO
猷	DO
猿	VIÊN
獄	NGỤC
獅	SƯ
獣	THÚ
獲	HOẠCH
玄	HUYỀN
率	XUẤT
玉	NGỌC
王	VƯƠNG
玩	NGOẠN
玲	LINH
玻	PHA
珍	TRÂN
珠	CHÂU
珪	KHUÊ
班	BAN
現	HIỆN
球	CẦU
理	LÝ
琉	LƯU
琢	TRÁC/CHÁC
琲	BỘI
琴	CẦM
琵	TỲ/TÌ
琶	BÀ
瑕	HÀ
瑛	ANH
瑞	THỤY
瑠	LƯU
瑤	DAO
璃	LY
環	HOÀN
璽	TỶ
瓏	LUNG
瓔	ANH
瓜	QUA
瓣	BIỆN
瓦	NGÕA
瓧	(ngập)
瓩	(nghiên)
瓰	(ngân)
瓱	(ngao)
瓶	BÌNH
瓸	(ngách)
甅	(ngoi)
甕	ÚNG
甘	CAM
甚	THẬM
生	SINH
産	SẢN
甦	CANH
用	DỤNG
甫	PHỦ
田	ĐIỀN
由	DO
甲	GIÁP
申	THÂN
男	NAM
町	ĐINH
画	HỌA/HOẠCH
界	GIỚI
畑	(vườn)
畔	BẠN
留	LƯU
畚	BỔN
畜	SÚC
畝	MẪU
畠	(đồng)
略	LƯỢC
畦	HUỀ
番	PHIÊN
異	DỊ
畳	ĐIỆP
當	ĐƯƠNG
畿	KỲ
疆	CƯƠNG
疎	SƠ
疑	NGHI
疔	ĐINH
疚	CỬU
疝	SÁN
疣	VƯU
疥	GIỚI
疫	DỊCH
疱	BÀO
疲	BÍ
疳	CAM
疵	TỲ/TÌ
疸	ĐẢM
疹	CHẨN
疼	ĐÔNG
疽	THƯ
疾	TẬT
痂	GIÀ
痃	HUYỀN
病	BỆNH
症	CHỨNG
痊	THUYÊN
痍	DI
痒	DƯỠNG
痔	TRĨ
痕	NGÂN
痘	ĐẬU
痙	KINH
痛	THỐNG
痞	BĨ/PHỦ
痢	LỴ
痣	CHÍ
痩	SẤU
痰	ĐÀM
痲	MA
痳	LÂM
痴	SI
痺	TÊ
痼	CỐ
痾	Á
痿	NUY
瘁	TỤY
瘉	DŨ
瘋	PHONG
瘍	DƯƠNG
瘟	ÔN
瘠	TÍCH
瘡	SANG
瘢	BAN
瘤	LỰU
瘧	NGƯỢC
瘰	LOA
瘴	CHƯỚNG
瘻	LÂU
療	LIỆU
癆	LAO
癇	NHÀN
癈	PHẾ
癌	NHAM
癒	DŨ
癖	PHÍCH
癘	LỆ
癜	ĐIẾN
癡	SI
癢	DƯỠNG
癧	LỆ
癨	HOẮC
癩	LẠI
癪	TÍCH
癬	TIỂN
癰	UNG
癲	ĐIÊN
癶	BÁT
癸	QUÝ/QUÍ
発	PHÁT
登	ĐĂNG
白	BẠCH
百	BÁCH
的	ĐÍCH
皆	GIAI
皇	HOÀNG
皓	HẠO
皮	BÌ
皸	QUÂN
皹	QUÂN
皺	SÔ
皿	MÃNH
盂	VU
盃	BÔI
盆	BỒN
益	ÍCH
盒	HẠP
盗	ĐẠO
盛	THỊNH
盞	TRẢN
盟	MINH
監	GIÁM
盤	BÀN
目	MỤC
盲	MANH
直	TRỰC
相	TƯƠNG/TƯỚNG
盾	THUẪN
省	TỈNH
眉	MI
看	KHÁN
県	HUYỆN
眞	CHÂN
真	CHÂN
眠	MIÊN
眩	HUYỄN
眸	MÂU
眺	THIẾU
眼	NHÃN
着	TRƯỚC
睛	TÌNH
睡	THỤY
督	ĐỐC
睦	MỤC
睿	DUỆ
瞬	THUẤN
瞳	ĐỒNG
瞽	CỔ
矍	QUẮC
矗	SÚC
矛	MÂU
矢	THỈ
知	TRI
矩	CỦ
短	ĐOẢN
矯	KIỂU
石	THẠCH
砂	SA
砒	PHÊ/TỲ
研	NGHIÊN
砕	TOÁI
砥	CHỈ
砦	TRẠI
砲	PHÁO
破	PHÁ
硅	KHUÊ
硝	TIÊU
硫	LƯU
硬	NGẠNH
硼	BẰNG
碁	KỲ
碑	BI
碧	BÍCH
確	XÁC
磁	TỪ
磨	MA
磯	KY
礁	TIỀU
礎	SỞ
礫	LỊCH
示	THỊ
礼	LỄ
社	XÃ
祇	CHỈ
祈	KỲ
祉	CHỈ
祐	HỮU
祖	TỔ
祝	CHÚC
神	THẦN
祠	TỪ
祥	TƯỜNG
票	PHIẾU/TIÊU/PHIÊU
祭	TẾ
祷	niệm
禀	BẨM
禁	CẤM
禄	LỘC
禅	THIỀN
禍	HỌA
禎	TRINH
福	PHÚC
禽	CẦM
禿	NGỐC
秀	TÚ
私	TƯ
秋	THU
科	KHOA
秒	MIỂU
秘	BÍ
租	TÔ
秤	XỨNG
秦	TẦN
秩	TRẬT
称	XƯNG/XỨNG
移	DI
稀	HY/HI
程	TRÌNH
税	THUẾ
稔	NHẪM
稚	TRĨ
稜	LĂNG
稟	BẨM
種	CHỦNG
稲	ĐẠO
稼	GIÁ
稽	KÊ/KHỂ
稿	CẢO
穀	CỐC
穂	TUỆ
積	TÍCH
穎	DĨNH
穏	ỔN
穣	NHƯƠNG
穫	HOẠCH
穴	HUYỆT
究	CỨU
空	KHÔNG/KHỐNG
突	ĐỘT
窃	THIẾT
窄	TRÁCH
窒	TRẤT
窓	SONG
窟	QUẬT
窪	OA
窮	CÙNG
窯	DIÊU
窶	CŨ/LŨ
立	LẬP
竍	(lập)
竏	(liên)
竓	(lao)
竕	(lân)
竜	LONG
章	CHƯƠNG
竡	(lách)
童	ĐỒNG
