々	(kép)
冽	LIỆT
凄	THÊ
准	CHUẨN
凉	LƯƠNG
凋	ĐIÊU
凌	LĂNG
凍	ĐÔNG
凖	CHUẨN
凛	LẪM
凜	LẪM
凝	NGƯNG
几	KỶ
凡	PHÀM
処	XỬ/XỨ
凧	(diều)
凭	BẰNG
凰	HOÀNG
凱	KHẢI
凵	KHẢM
凶	HUNG
凸	ĐỘT
凹	AO
出	XUẤT
函	HÀM
凾	HÀM
刀	ĐAO
刃	NHẬN
刄	NHẬN
分	PHÂN
切	THIẾT
刈	NGẢI
刊	SAN
刋	SAN
刎	VẪN
刑	HÌNH
刔	QUYẾT
列	LIỆT
初	SƠ
判	PHÁN
別	BIỆT
刧	KIẾP
利	LỢI
刪	SAN
到	ĐÁO
刳	KHÔ
制	CHẾ
刷	LOÁT
券	KHOÁN
刹	SÁT
刺	THÍCH
刻	KHẮC
剃	THÍ/THẾ
剄	KINH
則	TẮC
削	TƯỚC
剋	KHẮC
剌	LẠT
前	TIỀN
剔	DỊCH
剖	PHẪU
剛	CƯƠNG
剞	KỲ
剣	KIẾM
剤	TỄ
剥	BÁC
剩	THẶNG
剪	TIỆN
副	PHÓ
剰	THẶNG
剱	KIẾM
割	CÁT
剴	KHẢI
創	SÁNG
剽	PHIÊU
剿	TIỄU
劃	HOẠCH
劇	KỊCH
劈	PHÁCH
劉	LƯU
劍	KIẾM
劑	TỄ
劒	KIẾM
劔	KIẾM
力	LỰC
功	CÔNG
加	GIA
劣	LIỆT
助	TRỢ
努	NỖ
劫	KIẾP
劬	CÙ
劭	THIỆU
励	LỆ
労	LAO/LẠO
劵	KHOÁN
効	HIỆU
劼	CẬT
劾	HẶC
勁	KÌNH
勃	BỘT
勅	SẮC
勇	DŨNG
勉	MIỄN
勍	KÌNH
動	ĐỘNG
勗	HÚC
勘	KHÁM
務	VỤ
勝	THẮNG
勞	LAO/LẠO
募	MỘ
勠	LỤC
勢	THẾ
勣	TÍCH
勤	CẦN
勦	TIỄU
勧	KHUYẾN
勲	HUÂN
勳	HUÂN
勵	LỆ
勸	KHUYẾN
勹	BAO
勺	CHƯỚC
勾	CÂU
勿	VẬT
匁	CHỈ
匂	(mùi)
包	BAO
匆	THÔNG
匈	HUNG
匍	BỒ
匏	HỒ
匐	BẶC
匕	TRỦY/CHỦY
化	HÓA
北	BẮC
匙	CHỦY
匚	PHƯƠNG
匝	TÁP
匠	TƯỢNG
匡	KHUÔNG
匣	HẠP
匪	PHỈ
匯	HỐI
匱	QUỸ/QUĨ
匳	LIÊM
匸	HỆ
匹	THẤT
区	KHU
医	Y
匿	NẶC
區	KHU
十	THẬP
千	THIÊN
卅	TẠP/NẪM
升	THĂNG
午	NGỌ
卉	HỦY
半	BÁN
卍	VẠN
卑	TY/TI
卒	TỐT
卓	TRÁC
協	HIỆP
南	NAM
単	ĐƠN
博	BÁC
卜	BỐC
卞	BIỆN
占	CHIẾM/CHIÊM
卦	QUÁI
卩	TIẾT
卮	CHI
卯	MÃO
印	ẤN
危	NGUY
即	TỨC
却	KHƯỚC
卵	NOÃN
卷	QUYỂN
卸	TÁ
卿	KHANH
厂	HÁN
厄	ÁCH
厖	MANG
厘	LY/LI
厚	HẬU
原	NGUYÊN
厠	XÍ
厥	QUYẾT
厦	HẠ
厨	TRÙ
厩	CỨU
厭	YẾM
厮	TÊ
厰	XƯỞNG
厳	NGHIÊM
厶	KHƯ/TƯ
去	KHỨ
参	THAM/SÂM
參	THAM/SÂM
又	HỰU
叉	XOA
及	CẬP
友	HỮU
双	SONG
反	PHẢN
収	THU/THÂU
叔	THÚC
取	THỦ
受	THỤ/THỌ
叙	TỰ
叛	PHẢN
叟	TẨU
叡	DUỆ
叢	TÙNG/TÒNG
口	KHẨU
古	CỔ
句	CÚ
叨	THAO
叩	KHẤU
只	CHỈ
叫	KHIẾU
召	TRIỆU
叭	BÁ/BÁT
叮	ĐINH
可	KHẢ
台	ĐÀI
叱	SẤT
史	SỬ
右	HỮU
叶	CẤP
号	HIỆU
司	TƯ/TY
吁	HU
吃	NGẬT/CẬT
各	CÁC
合	HỢP/CÁP
吉	CÁT
吊	ĐIẾU
吋	THỐN
同	ĐỒNG
名	DANH
后	HẬU
吏	LẠI
吐	THỔ
向	HƯỚNG
君	QUÂN
吝	LẬN
吟	NGÂM
吠	PHỆ
否	PHỦ
吩	PHÂN
含	HÀM
听	THÍNH
吭	KHANG
吮	DUYỆN
吶	NỘT
吸	HẤP
吹	XUY/XÚY
吻	VẪN
吼	HỐNG
吽	(ngỏ)
吾	NGÔ
呀	NHA
呂	LỮ
呆	NGỐC/NGAI
呈	TRÌNH
呉	NGÔ
告	CÁO
呎	XÍCH
呑	THÔN
呟	HUYỀN
周	CHU
呪	CHÚ
呰	TY/TA
呱	CÔ
味	VỊ
呵	HA/KHA
呶	NAO
呷	GIÁP
呻	THÂN
呼	HÔ
命	MỆNH
咀	CHỚ
咄	ĐỐT
咆	BÀO
咋	TRÁ
和	HÒA
咎	CỮU
咏	VỊNH
咐	PHÓ
咒	CHÚ
咢	NGẠC
咤	TRÁ
咥	CHÍ
咨	THỨ
咫	CHỈ
咬	GIẢO
咯	CÁC
咲	TIẾU
咳	KHÁI
咸	HÀM
咼	QUA
咽	NHIẾT/YẾN/YẾT
咾	(láo)
哀	AI
品	PHẨM
哂	THẨN
哄	HỐNG
哇	OA
哈	CÁP
哉	TAI
員	VIÊN
哢	LỘNG
哥	CA
哦	NGA
哨	TIÊU
哩	LÝ
哭	KHỐC
哮	HIẾU
哲	TRIẾT
哺	BÔ
哽	CÁNH/NGẠNH
唄	BỘI
唆	TOA
唇	THẦN
唏	HY
唐	ĐƯỜNG
唔	NGỘ
唖	Á
售	THỤ
唯	DUY
唱	XƯỚNG
唳	LỆ
唸	NIỆM
唹	Ư
唾	THÓA
啀	NHAI
啄	TRÁC
啅	TRÁC
商	THƯƠNG
啌	KHÔNG
問	VẤN
啓	KHẢI
啖	GIẢM/GIÃM
啗	ĐẠM
啜	XUYẾT
啝	HÒA
啣	HÀM
啻	THÍ
啼	ĐỀ
啾	THU
喀	KHÁCH
喃	NAM
善	THIỆN
喇	LẠT
喉	HẦU
喊	HẢM
喋	ĐIỆP
喘	SUYỄN
喙	CHÁC/DẾ
喚	HOÁN
喜	HỶ/HỈ
喝	HÁT
喞	TỨC
喟	VỊ
喧	HUYÊN
喨	LƯỢNG
喩	DỤ
喪	TANG/TÁNG
喫	KHIẾT
喬	KIỀU
單	ĐAN
喰	(nhậu)
営	DOANH/DINH
嗄	HẠ
嗅	KHỨU
嗇	SẮC
嗔	CHÂN
嗚	Ô
嗜	THỊ
嗟	TA
嗣	TỰ
嗤	SI
嗷	NGAO
嗹	LIÊN
嗽	SẤU
嗾	TẨU
嘆	THÁN
嘉	GIA
